ts_utc,symbol,asset_class,price,change_pct,change,volume,high,low,previous_close,source,options_expiry,atm_iv_pct,put_call_ratio,top_oi_strikes
2026-03-08T07:09:42Z,AAPL,equity,257.46,-0.9883%,-2.57,41094000.0,258.77,254.37,260.03,yfinance,2026-03-09,32.48,0.6037,"[{""strike"": 265.0, ""open_interest"": 7611}, {""strike"": 275.0, ""open_interest"": 4802}, {""strike"": 270.0, ""open_interest"": 4681}]"
2026-03-08T07:09:42Z,MSFT,equity,408.96,-0.5302%,-2.18,31085000.0,413.05,408.51,411.14,yfinance,2026-03-09,30.82,0.6762,"[{""strike"": 425.0, ""open_interest"": 10676}, {""strike"": 410.0, ""open_interest"": 4844}, {""strike"": 412.5, ""open_interest"": 1678}]"
2026-03-08T07:09:42Z,NVDA,equity,177.82,-2.5297%,-4.615,188472400.0,182.76,176.82,182.435,yfinance,2026-03-09,50.23,1.2232,"[{""strike"": 195.0, ""open_interest"": 17277}, {""strike"": 190.0, ""open_interest"": 16895}, {""strike"": 185.0, ""open_interest"": 14738}]"
2026-03-08T07:09:42Z,AMZN,equity,213.21,-2.6172%,-5.73,51090300.0,217.32,212.53,218.94,yfinance,2026-03-09,47.44,0.8647,"[{""strike"": 220.0, ""open_interest"": 7283}, {""strike"": 222.5, ""open_interest"": 4056}, {""strike"": 215.0, ""open_interest"": 3957}]"
2026-03-08T07:09:42Z,GOOGL,equity,298.52,-0.8239%,-2.48,25546200.0,300.53,295.18,301.0,yfinance,2026-03-09,36.98,0.7822,"[{""strike"": 305.0, ""open_interest"": 2494}, {""strike"": 310.0, ""open_interest"": 2048}, {""strike"": 315.0, ""open_interest"": 2048}]"
2026-03-08T07:09:42Z,META,equity,644.86,-2.4034%,-15.88,13128500.0,649.47,636.11,660.74,yfinance,2026-03-09,36.36,0.6882,"[{""strike"": 675.0, ""open_interest"": 1471}, {""strike"": 640.0, ""open_interest"": 1362}, {""strike"": 635.0, ""open_interest"": 1328}]"
2026-03-08T07:09:42Z,TSLA,equity,396.73,-2.0347%,-8.24,63870200.0,402.35,394.21,404.97,yfinance,2026-03-09,43.2,0.8317,"[{""strike"": 405.0, ""open_interest"": 7584}, {""strike"": 400.0, ""open_interest"": 6520}, {""strike"": 335.0, ""open_interest"": 5202}]"
2026-03-08T07:09:42Z,XAUUSD,metal,5158.7002,0.4185%,21.5,148507.0,5185.0,5071.0,5137.2002,yfinance,,,,
2026-03-08T07:09:42Z,XAGUSD,metal,84.311,-0.1705%,-0.144,40347.0,85.335,81.785,84.455,yfinance,,,,
