ts_utc,symbol,asset_class,price,change_pct,change,volume,high,low,previous_close,source,options_expiry,atm_iv_pct,put_call_ratio,top_oi_strikes
2026-03-11T13:19:51Z,AAPL,equity,260.83,-0.134%,-0.35,30537200.0,262.48,256.95,261.18,yfinance,2026-03-11,0.78,0.7453,"[{""strike"": 265.0, ""open_interest"": 12687}, {""strike"": 270.0, ""open_interest"": 10070}, {""strike"": 260.0, ""open_interest"": 7463}]"
2026-03-11T13:19:51Z,MSFT,equity,405.76,0.0082%,0.0332,31655300.0,410.2,402.93,405.7268,yfinance,2026-03-11,0.39,0.6161,"[{""strike"": 405.0, ""open_interest"": 7001}, {""strike"": 420.0, ""open_interest"": 6273}, {""strike"": 415.0, ""open_interest"": 4892}]"
2026-03-11T13:19:51Z,NVDA,equity,184.77,0.0053%,0.0097,178696400.0,186.44,182.01,184.7603,yfinance,2026-03-11,0.39,0.7198,"[{""strike"": 185.0, ""open_interest"": 40797}, {""strike"": 182.5, ""open_interest"": 35904}, {""strike"": 187.5, ""open_interest"": 30020}]"
2026-03-11T13:19:51Z,AMZN,equity,214.33,-0.2884%,-0.62,35582400.0,215.65,212.43,214.95,yfinance,2026-03-11,0.78,0.3182,"[{""strike"": 220.0, ""open_interest"": 17873}, {""strike"": 217.5, ""open_interest"": 9343}, {""strike"": 200.0, ""open_interest"": 8974}]"
2026-03-11T13:19:51Z,GOOGL,equity,307.04,-0.3052%,-0.94,23208800.0,309.51,305.57,307.98,yfinance,2026-03-11,1.56,0.5864,"[{""strike"": 315.0, ""open_interest"": 4137}, {""strike"": 300.0, ""open_interest"": 4098}, {""strike"": 310.0, ""open_interest"": 3788}]"
2026-03-11T13:19:51Z,META,equity,654.07,-0.081%,-0.53,9844600.0,660.3,649.0,654.6,yfinance,2026-03-11,0.39,0.7567,"[{""strike"": 675.0, ""open_interest"": 3373}, {""strike"": 655.0, ""open_interest"": 3372}, {""strike"": 670.0, ""open_interest"": 2852}]"
2026-03-11T13:19:51Z,TSLA,equity,399.24,-0.1376%,-0.55,59148300.0,406.59,398.19,399.79,yfinance,2026-03-11,0.39,0.5983,"[{""strike"": 410.0, ""open_interest"": 16059}, {""strike"": 400.0, ""open_interest"": 12527}, {""strike"": 300.0, ""open_interest"": 12070}]"
2026-03-11T13:19:51Z,XAUUSD,metal,5183.7998,-0.5239%,-27.3003,60707.0,5230.8999,5169.1001,5211.1001,yfinance,,,,
2026-03-11T13:19:51Z,XAGUSD,metal,85.885,-2.8285%,-2.5,19693.0,89.705,84.815,88.385,yfinance,,,,
