ts_utc,symbol,asset_class,price,change_pct,change,volume,high,low,previous_close,source,options_expiry,atm_iv_pct,put_call_ratio,top_oi_strikes
2026-03-09T15:57:47Z,AAPL,equity,257.6944,0.3209%,0.8244,12473697.0,258.18,253.6805,256.87,yfinance,2026-03-09,17.88,0.8242,"[{""strike"": 265.0, ""open_interest"": 15122}, {""strike"": 190.0, ""open_interest"": 9367}, {""strike"": 250.0, ""open_interest"": 5761}]"
2026-03-09T15:57:47Z,MSFT,equity,408.0751,-0.023%,-0.0939,11476675.0,409.17,403.5,408.169,yfinance,2026-03-09,19.41,0.6006,"[{""strike"": 425.0, ""open_interest"": 7740}, {""strike"": 410.0, ""open_interest"": 5383}, {""strike"": 420.0, ""open_interest"": 3399}]"
2026-03-09T15:57:47Z,NVDA,equity,180.045,1.1034%,1.965,71924155.0,180.09,175.56,178.08,yfinance,2026-03-09,25.24,0.6756,"[{""strike"": 180.0, ""open_interest"": 24550}, {""strike"": 185.0, ""open_interest"": 21279}, {""strike"": 195.0, ""open_interest"": 18448}]"
2026-03-09T15:57:47Z,AMZN,equity,210.24,-1.2494%,-2.66,22224692.0,212.295,207.11,212.9,yfinance,2026-03-09,23.15,0.5283,"[{""strike"": 220.0, ""open_interest"": 8574}, {""strike"": 205.0, ""open_interest"": 6144}, {""strike"": 215.0, ""open_interest"": 5479}]"
2026-03-09T15:57:47Z,GOOGL,equity,300.03,0.7421%,2.21,11178943.0,300.25,294.08,297.82,yfinance,2026-03-09,18.12,0.6505,"[{""strike"": 302.5, ""open_interest"": 4262}, {""strike"": 300.0, ""open_interest"": 3985}, {""strike"": 305.0, ""open_interest"": 3296}]"
2026-03-09T15:57:47Z,META,equity,636.83,-0.921%,-5.92,5101772.0,637.689,626.78,642.75,yfinance,2026-03-09,19.61,0.7831,"[{""strike"": 640.0, ""open_interest"": 1856}, {""strike"": 635.0, ""open_interest"": 1720}, {""strike"": 660.0, ""open_interest"": 1528}]"
2026-03-09T15:57:47Z,TSLA,equity,389.77,-1.5907%,-6.3001,31409178.0,392.99,381.4,396.0701,yfinance,2026-03-09,26.75,0.6387,"[{""strike"": 405.0, ""open_interest"": 11912}, {""strike"": 380.0, ""open_interest"": 9040}, {""strike"": 400.0, ""open_interest"": 8294}]"
2026-03-09T15:57:47Z,XAUUSD,metal,5104.8999,0.1353%,6.8999,132879.0,5210.3999,5021.2002,5098.0,yfinance,,,,
2026-03-09T15:57:47Z,XAGUSD,metal,84.675,1.8953%,1.575,34702.0,85.435,79.64,83.1,yfinance,,,,
