ts_utc,symbol,asset_class,price,change_pct,change,volume,high,low,previous_close,source
2026-03-07T11:24:36.305Z,AAPL,equity,257.4600,-1.0872%,-2.8300,41120042,258.7700,254.3700,260.2900,alpha_vantage
2026-03-07T11:24:36.305Z,MSFT,equity,,,,,,,,alpha_vantage
2026-03-07T11:24:36.305Z,NVDA,equity,,,,,,,,alpha_vantage
2026-03-07T11:24:36.305Z,AMZN,equity,,,,,,,,alpha_vantage
2026-03-07T11:24:36.305Z,GOOGL,equity,298.5200,-0.7844%,-2.3600,25576916,300.5300,295.1800,300.8800,alpha_vantage
2026-03-07T11:24:36.305Z,META,equity,,,,,,,,alpha_vantage
2026-03-07T11:24:36.305Z,TSLA,equity,,,,,,,,alpha_vantage
2026-03-07T11:24:36.305Z,XAUUSD,metal,,,,,,,,alpha_vantage
2026-03-07T11:24:36.305Z,XAGUSD,metal,,,,,,,,alpha_vantage
